stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,NVBW_HST_DHID
"de:05113:9568:1:2","","Essen Sommerburgstr.","51.4179057","6.9806284","","","","0","","de:05113:9568"
"de:05113:9568:1:3","","Essen Sommerburgstr.","51.4190485","6.9794965","","","","0","","de:05113:9568"
"de:05113:9569:1:1","","Essen Sonderfeld","51.4262858","7.0699478","","","","0","","de:05113:9569"
"de:05113:9569:1:2","","Essen Sonderfeld","51.4262858","7.0699478","","","","0","","de:05113:9569"
"de:05113:9571:1:1","","Essen Spervogelweg","51.4456338","7.0967536","","","","0","","de:05113:9571"
"de:05113:9571:1:2","","Essen Spervogelweg","51.4456618","7.0969602","","","","0","","de:05113:9571"
"de:05113:9572:1:1","","Essen Sportanlage Eiberg","51.4467256","7.1126807","","","","0","","de:05113:9572"
"de:05113:9572:1:2","","Essen Sportanlage Eiberg","51.4467592","7.1122315","","","","0","","de:05113:9572"
"de:05113:9573:1:1","","Essen Springhoffsfeld","51.4280334","7.0730291","","","","0","","de:05113:9573"
"de:05113:9573:1:2","","Essen Springhoffsfeld","51.428039","7.0730201","","","","0","","de:05113:9573"
"de:05113:9574:1:1","","E-Stad.Math. Stinnes","51.5181983","6.9974718","","","","0","","de:05113:9574"
"de:05113:9574:1:2","","E-Stad. Math. Stinnes","51.5181927","6.9974897","","","","0","","de:05113:9574"
"de:05113:9575:3:1","","Essen Stadtgarten","51.4472686","7.0640998","","","","0","","de:05113:9575"
"de:05113:9575:4:2","","Essen Stadtgarten","51.4472742","7.0640998","","","","0","","de:05113:9575"
"de:05113:9578:97:1","","Essen Stadtwald S","51.4233003","7.0233163","","","","0","","de:05113:9578"
"de:05113:9578:98:12","","Essen Stadtwald S","51.4233003","7.0232444","","","","0","","de:05113:9578"
"de:05113:9579:1:1","","Essen Stadtwaldplatz","51.4192278","7.024026","","0","de:05113:9579_Parent","0","","de:05113:9579"
"de:05113:9579:1:2","","Essen Stadtwaldplatz","51.419267","7.0242595","","0","de:05113:9579_Parent","0","","de:05113:9579"
"de:05113:9579:2:3","","Essen Stadtwaldplatz","51.4198328","7.024008","","0","de:05113:9579_Parent","0","","de:05113:9579"
"de:05113:9579:2:4","","Essen Stadtwaldplatz","51.419816","7.0242326","","0","de:05113:9579_Parent","0","","de:05113:9579"
"de:05113:9579_Parent","","Essen Stadtwaldplatz","51.4195527","7.0237744","","1","","","","de:05113:9579"
"de:05113:9580:1:1","","Essen Stadtwiese","51.4721757","7.0066975","","","","0","","de:05113:9580"
"de:05113:9580:1:2","","Essen Stadtwiese","51.4722484","7.0068771","","","","0","","de:05113:9580"
"de:05113:9581:1:1","","Essen Stankeitstr.","51.4942504","7.0127791","","","","0","","de:05113:9581"
"de:05113:9581:1:2","","Essen Stankeitstr.","51.4942168","7.0126802","","","","0","","de:05113:9581"
"de:05113:9582:2:10","","Essen Steele S","51.4505045","7.075185","","0","de:05113:9582_Parent","0","","de:05113:9582"
"de:05113:9582:2:11","","Essen Steele S","51.450359","7.0755803","","0","de:05113:9582_Parent","0","","de:05113:9582"
"de:05113:9582:2:8","","Essen Steele S","51.4506837","7.074691","","0","de:05113:9582_Parent","0","","de:05113:9582"
"de:05113:9582:2:9","","Essen Steele S","51.4506109","7.0749155","","0","de:05113:9582_Parent","0","","de:05113:9582"
"de:05113:9582:3:4","","Essen Steele S","51.4504262","7.0745562","","0","de:05113:9582_Parent","0","","de:05113:9582"
"de:05113:9582:3:5","","Essen Steele S","51.4504709","7.0742867","","0","de:05113:9582_Parent","0","","de:05113:9582"
"de:05113:9582:89:7","","Essen Steele S","51.45079","7.0743137","","0","de:05113:9582_Parent","0","","de:05113:9582"
"de:05113:9582:97:101","","Essen Steele S","51.4506725","7.0759845","","0","de:05113:9582_Parent","0","","de:05113:9582"
"de:05113:9582:97:102","","Essen Steele S","51.4505885","7.0759037","","0","de:05113:9582_Parent","0","","de:05113:9582"
"de:05113:9582:98:103","","Essen Steele S","51.4505437","7.0758588","","0","de:05113:9582_Parent","0","","de:05113:9582"
"de:05113:9582:98:104","","Essen Steele S","51.4504485","7.075742","","0","de:05113:9582_Parent","0","","de:05113:9582"
"de:05113:9582_Parent","","Essen Steele S","51.4505101","7.0749245","","1","","","","de:05113:9582"
"de:05113:9584:2:2","","Essen Steele Ost S","51.4450739","7.0869979","","0","de:05113:9584_Parent","0","","de:05113:9584"
"de:05113:9584:3:3","","Essen Steele Ost S","51.4455274","7.0876986","","0","de:05113:9584_Parent","0","","de:05113:9584"
"de:05113:9584:4:1","","Essen Steele Ost S","51.4445924","7.0893335","","0","de:05113:9584_Parent","0","","de:05113:9584"
"de:05113:9584:90:1","","Essen Steele Ost S","51.4440885","7.0888394","","0","de:05113:9584_Parent","0","","de:05113:9584"
"de:05113:9584:98:2","","Essen Steele Ost S","51.4440605","7.0888035","","0","de:05113:9584_Parent","0","","de:05113:9584"
"de:05113:9584:98:4","","Essen Steele Ost S","51.4439877","7.0887226","","0","de:05113:9584_Parent","0","","de:05113:9584"
"de:05113:9584_Parent","","Essen Steele Ost S","51.44499","7.087465","","1","","","","de:05113:9584"
"de:05113:9585:1:1","","Essen Steinbachgrund","51.4173287","6.956814","","","","0","","de:05113:9585"
"de:05113:9585:1:2","","Essen Steinbachgrund","51.4174071","6.9568769","","","","0","","de:05113:9585"
"de:05113:9587:1:1","","Essen Steinwerke","51.3805124","7.0870428","","","","0","","de:05113:9587"
"de:05113:9587:1:2","","Essen Steinwerke","51.380434","7.0871506","","","","0","","de:05113:9587"
"de:05113:9588:1:1","","Essen Stiftplatz","51.4248911","7.0398184","","","","0","","de:05113:9588"
"de:05113:9588:1:2","","Essen Stiftplatz","51.4248743","7.0398453","","","","0","","de:05113:9588"
"de:05113:9589:1:1","","Essen Philippusstift","51.4767414","6.9505528","","0","de:05113:9589_Parent","0","","de:05113:9589"
"de:05113:9589:1:3","","Essen Philippusstift","51.4759693","6.9504899","","0","de:05113:9589_Parent","0","","de:05113:9589"
"de:05113:9589:2:2","","Essen Philippusstift","51.4766911","6.9511007","","0","de:05113:9589_Parent","0","","de:05113:9589"
"de:05113:9589:2:3","","Essen Philippusstift","51.4759749","6.9504809","","0","de:05113:9589_Parent","0","","de:05113:9589"
"de:05113:9589_Parent","","Essen Philippusstift","51.4766407","6.9504989","","1","","","","de:05113:9589"
"de:05113:9590:1:1","","Essen Süd S","51.4403986","7.0218071","","0","de:05113:9590_Parent","0","","de:05113:9590"
"de:05113:9590:1:2","","Essen Süd S","51.4399171","7.0227144","","0","de:05113:9590_Parent","0","","de:05113:9590"
"de:05113:9590:3:1","","Essen Süd S","51.4403986","7.0218071","","0","de:05113:9590_Parent","0","","de:05113:9590"
"de:05113:9590:3:2","","Essen Süd S","51.4399283","7.0227234","","0","de:05113:9590_Parent","0","","de:05113:9590"
"de:05113:9590:97:11","","Essen Süd S","51.4391891","7.0230738","","0","de:05113:9590_Parent","0","","de:05113:9590"
"de:05113:9590:98:2","","Essen Süd S","51.4391891","7.0231277","","0","de:05113:9590_Parent","0","","de:05113:9590"
"de:05113:9590_Parent","","Essen Süd S","51.4397491","7.0230827","","1","","","","de:05113:9590"
"de:05113:9591:1:1","","Essen Südwestfriedhof","51.4352804","6.9650156","","","","0","","de:05113:9591"
"de:05113:9591:1:2","","Essen Südwestfriedhof","51.4353476","6.9650426","","","","0","","de:05113:9591"
"de:05113:9593:1:1","","Essen Am Ehrenfriedhof","51.4277869","6.963731","","","","0","","de:05113:9593"
"de:05113:9593:1:2","","Essen Am Ehrenfriedhof","51.4278205","6.963749","","","","0","","de:05113:9593"
"de:05113:9595:1:1","","Essen Sulterkamp","51.485782","6.9675669","","0","de:05113:9595_Parent","0","","de:05113:9595"
"de:05113:9595:1:2","","Essen Sulterkamp","51.4858995","6.9670728","","0","de:05113:9595_Parent","0","","de:05113:9595"
"de:05113:9595:2:3","","Essen Sulterkamp","51.4858659","6.9683035","","0","de:05113:9595_Parent","0","","de:05113:9595"
"de:05113:9595:2:4","","Essen Sulterkamp","51.4859778","6.9684831","","0","de:05113:9595_Parent","0","","de:05113:9595"
"de:05113:9595_Parent","","Essen Sulterkamp","51.4859834","6.9678902","","1","","","","de:05113:9595"
"de:05113:9596:1:1","","Essen Sulzbachtal","51.465606","7.0999965","","","","0","","de:05113:9596"
"de:05113:9596:1:2","","Essen Sulzbachtal","51.4656564","7.0996641","","","","0","","de:05113:9596"
"de:05113:9598:1:1","","Essen Tiefbachstr.","51.5140504","7.0429625","","","","0","","de:05113:9598"
"de:05113:9598:1:2","","Essen Tiefbachstr.","51.5140671","7.0429265","","","","0","","de:05113:9598"
"de:05113:9599:1:1","","Essen Soniusweg","51.40067","7.0617732","","","","0","","de:05113:9599"
"de:05113:9599:1:2","","Essen Soniusweg","51.4006756","7.0617911","","","","0","","de:05113:9599"
"de:05113:9600:1:1","","Essen Terrassenfriedhof","51.458347","6.943501","","","","0","","de:05113:9600"
"de:05113:9600:1:2","","Essen Terrassenfriedhof","51.4582966","6.943492","","","","0","","de:05113:9600"
"de:05113:9601:1:1","","Essen Theobaldstr.","51.4932045","7.0428906","","","","0","","de:05113:9601"
"de:05113:9601:1:2","","Essen Theobaldstr.","51.4930703","7.0424684","","","","0","","de:05113:9601"
"de:05113:9602:1:1","","Essen Tommesweg","51.4181354","6.9657433","","","","0","","de:05113:9602"
"de:05113:9602:1:2","","Essen Tommesweg","51.4180177","6.9656355","","","","0","","de:05113:9602"
"de:05113:9603:1:1","","Essen Töpferstr.","51.4376212","7.0288589","","0","de:05113:9603_Parent","0","","de:05113:9603"
"de:05113:9603:1:2","","Essen Töpferstr.","51.4374868","7.029317","","0","de:05113:9603_Parent","0","","de:05113:9603"
"de:05113:9603:2:3","","Essen Töpferstr.","51.4374924","7.0287781","","0","de:05113:9603_Parent","0","","de:05113:9603"
"de:05113:9603:2:4","","Essen Töpferstr.","51.437778","7.0292631","","0","de:05113:9603_Parent","0","","de:05113:9603"
"de:05113:9603:3:1","","Essen Töpferstr.","51.4376268","7.0288499","","0","de:05113:9603_Parent","0","","de:05113:9603"
"de:05113:9603:3:5","","Essen Töpferstr.","51.4374588","7.0294338","","0","de:05113:9603_Parent","0","","de:05113:9603"
"de:05113:9603_Parent","","Essen Töpferstr.","51.4376044","7.0290745","","1","","","","de:05113:9603"
"de:05113:9605:1:1","","Essen Triftstr.","51.4757343","6.9324787","","","","0","","de:05113:9605"
"de:05113:9605:1:2","","Essen Triftstr.","51.4756112","6.9322092","","","","0","","de:05113:9605"
"de:05113:9606:1:1","","Essen Tüschener Weg","51.3636273","6.996277","","","","0","","de:05113:9606"
"de:05113:9606:1:2","","Essen Tüschener Weg","51.3637731","6.9965016","","","","0","","de:05113:9606"
"de:05113:9607:1:1","","Essen Tuttmannstr.","51.476484","7.0324522","","","","0","","de:05113:9607"
"de:05113:9607:1:2","","Essen Tuttmannstr.","51.476484","7.0324522","","","","0","","de:05113:9607"
"de:05113:9608:1:11","","Essen Twentmannstr.","51.4849038","7.0178096","","","","0","","de:05113:9608"
"de:05113:9608:1:2","","Essen Twentmannstr.","51.4849429","7.0179803","","","","0","","de:05113:9608"
"de:05113:9610:1:1","","Essen Umstr.","51.3942078","7.0110184","","","","0","","de:05113:9610"
"de:05113:9610:1:2","","Essen Umstr.","51.3941854","7.0110363","","","","0","","de:05113:9610"
"de:05113:9611:1:1","","Essen Universitätsstr.","51.4632835","7.0104884","","","","0","","de:05113:9611"
"de:05113:9611:1:2","","Essen Universitätsstr.","51.4642293","7.0096978","","","","0","","de:05113:9611"
"de:05113:9612:1:1","","Essen Universität Essen","51.4659978","7.0019274","","0","de:05113:9612_Parent","0","","de:05113:9612"
"de:05113:9612:1:2","","Essen Universität Essen","51.4659922","7.0017837","","0","de:05113:9612_Parent","0","","de:05113:9612"
"de:05113:9612:2:1","","Essen Universität Essen","51.4644252","7.00164","","0","de:05113:9612_Parent","0","","de:05113:9612"
"de:05113:9612:2:2","","Essen Universität Essen","51.4649904","7.0013615","","0","de:05113:9612_Parent","0","","de:05113:9612"
"de:05113:9612_Parent","","Essen Universität Essen","51.4650744","7.0012447","","1","","","","de:05113:9612"
"de:05113:9613:1:1","","Essen Unterfrintrop","51.4860673","6.9049543","","","","0","","de:05113:9613"
"de:05113:9613:1:2","","Essen Unterfrintrop","51.4861568","6.905116","","","","0","","de:05113:9613"
"de:05113:9614:1:1","","Essen Unterstr.","51.4805962","6.9015856","","0","de:05113:9614_Parent","0","","de:05113:9614"
"de:05113:9614:1:2","","Essen Unterstr.","51.4804843","6.9020887","","0","de:05113:9614_Parent","0","","de:05113:9614"
"de:05113:9614:2:1","","Essen Unterstr.","51.4805794","6.9015586","","0","de:05113:9614_Parent","0","","de:05113:9614"
"de:05113:9614:3:3","","Essen Unterstr.","51.4812564","6.8985493","","0","de:05113:9614_Parent","0","","de:05113:9614"
"de:05113:9614_Parent","","Essen Unterstr.","51.4805347","6.9018281","","1","","","","de:05113:9614"
